time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,-0.0008,-0.0004,642.25,1589.29,1395.2,554.74,2387.96,9050.56,47.44,522.52,2388.02,8139.38,8.3801,390,39.14,23.3486,207,0
2,0.0027,0.0003,641.95,1584.45,1396.54,553.92,2388.05,9054.83,47.3,522.22,2388.04,8139.23,8.4134,391,38.95,23.3867,206,0
3,-0.0012,-0.0003,642.28,1576.58,1397.83,553.99,2387.98,9055.65,47.2,522.3,2388.0,8142.85,8.375,393,39.05,23.3997,205,0
4,0.0003,-0.0002,642.08,1585.31,1396.92,554.67,2387.99,9060.0,47.3,522.26,2387.95,8140.52,8.3968,392,38.9,23.4394,204,0
5,0.0018,0.0003,641.53,1583.36,1397.55,554.29,2388.02,9060.37,46.99,522.8,2388.03,8137.96,8.3742,390,38.98,23.3294,203,0
6,-0.0009,-0.0002,641.73,1579.85,1397.03,554.92,2388.0,9060.03,47.12,522.2,2388.0,8134.46,8.4105,391,38.94,23.3968,202,0
7,0.0029,0.0004,641.91,1584.95,1403.11,555.1,2388.02,9054.87,47.27,522.5,2388.0,8133.55,8.4254,392,39.02,23.4735,201,0
8,-0.0026,-0.0001,642.49,1589.11,1400.52,554.27,2387.96,9056.44,47.25,522.31,2387.99,8134.19,8.3944,392,39.03,23.4092,200,0
9,0.0025,-0.0002,642.76,1589.17,1402.09,554.73,2387.97,9057.28,47.05,522.74,2387.96,8137.42,8.4087,391,39.23,23.5045,199,0
10,-0.0027,0.0003,642.38,1581.67,1394.32,554.84,2387.99,9060.13,47.22,522.81,2387.99,8139.9,8.3904,391,39.06,23.3893,198,0
11,0.0021,0.0001,642.44,1577.36,1395.34,555.23,2387.95,9052.18,47.1,522.46,2388.02,8138.11,8.3742,392,39.09,23.4192,197,0
12,-0.0038,-0.0002,641.78,1580.27,1400.22,554.44,2387.99,9055.75,47.25,521.99,2388.03,8139.47,8.4192,392,39.06,23.3572,196,0
13,0.0044,0.0001,641.95,1582.17,1401.34,554.97,2388.04,9046.26,47.36,521.92,2387.96,8137.88,8.3939,391,39.02,23.5199,195,0
14,-0.0017,-0.0003,642.03,1592.78,1403.83,554.76,2388.04,9048.43,47.1,521.81,2388.05,8137.46,8.3664,391,38.84,23.4377,194,0
15,-0.0019,0.0002,641.92,1581.43,1397.66,553.76,2387.98,9053.86,47.15,521.75,2388.0,8141.38,8.3718,390,39.07,23.3881,193,0
16,0.0001,-0.0001,641.59,1575.58,1396.53,554.33,2388.03,9054.18,47.1,522.71,2388.0,8137.52,8.4159,392,38.87,23.4849,192,0
17,-0.0046,0.0002,642.01,1586.06,1395.02,554.68,2388.04,9050.28,47.02,522.43,2387.94,8139.31,8.4251,391,39.22,23.4513,191,0
18,-0.0026,0.0004,642.24,1588.47,1394.74,554.07,2388.04,9054.46,47.1,522.32,2388.04,8139.24,8.4023,392,38.94,23.4468,190,0
19,0.0017,-0.0005,641.65,1579.22,1397.74,554.54,2388.0,9053.21,47.01,522.18,2388.05,8142.18,8.4117,390,38.86,23.5788,189,0
20,0.0,-0.0005,641.69,1585.67,1385.93,554.43,2388.02,9053.93,47.12,522.5,2388.02,8139.95,8.4194,392,39.18,23.4724,188,0
21,0.0051,-0.0,642.26,1581.6,1398.4,554.5,2387.97,9055.16,47.28,522.51,2388.03,8133.88,8.3982,392,39.16,23.4692,187,0
22,-0.0037,0.0003,642.8,1584.9,1399.65,554.69,2388.02,9057.04,47.38,522.56,2388.03,8141.45,8.4008,391,39.11,23.3311,186,0
23,0.0042,0.0001,642.85,1593.41,1394.17,554.81,2388.04,9053.63,47.18,522.64,2388.01,8138.1,8.3842,391,39.03,23.3518,185,0
24,0.0004,-0.0003,642.36,1587.41,1399.03,553.96,2388.06,9051.52,47.24,522.21,2388.05,8133.1,8.3853,393,38.94,23.3622,184,0
25,0.0031,-0.0005,641.96,1595.58,1394.37,555.13,2387.97,9056.96,47.23,522.06,2387.99,8139.65,8.4028,391,38.85,23.3913,183,0
26,-0.0013,-0.0002,642.13,1580.41,1392.39,554.66,2388.04,9052.47,47.21,521.86,2388.01,8140.02,8.406,391,38.93,23.2953,182,0
27,0.0034,-0.0,642.16,1578.39,1393.82,554.76,2388.02,9062.72,47.25,522.48,2388.02,8143.13,8.4161,392,38.94,23.3557,181,0
28,0.0014,-0.0005,642.31,1586.95,1405.67,554.02,2388.02,9056.12,47.19,522.17,2388.02,8136.46,8.4146,389,38.89,23.5495,180,0
29,-0.0048,0.0004,642.24,1581.09,1406.9,554.13,2388.02,9051.63,47.19,521.87,2387.98,8139.94,8.3856,392,39.24,23.3353,179,0
30,-0.0015,-0.0,642.16,1583.68,1410.17,554.2,2388.02,9057.23,47.3,522.66,2388.01,8137.99,8.4148,391,38.9,23.4867,178,0
31,0.0022,0.0004,642.68,1582.34,1395.62,554.42,2388.02,9051.58,47.18,522.8,2387.99,8136.01,8.4089,392,38.98,23.5273,177,0
32,-0.0004,-0.0,642.07,1584.2,1400.92,554.36,2388.03,9051.14,47.19,522.25,2388.0,8143.27,8.4125,391,38.94,23.5128,176,0
33,-0.0024,-0.0002,641.85,1584.61,1404.07,554.4,2388.01,9061.28,47.12,522.36,2388.02,8137.33,8.4193,392,39.3,23.4548,175,0
34,-0.0017,0.0004,642.24,1584.06,1393.47,554.88,2387.95,9049.35,47.13,522.26,2388.0,8144.55,8.3898,393,38.99,23.3835,174,0
35,0.0005,-0.0003,642.17,1584.4,1395.5,554.22,2388.02,9058.8,47.02,522.76,2388.01,8136.25,8.3709,393,38.98,23.4075,173,0
