time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,-0.0019,-0.0002,642.77,1588.2,1413.2,553.04,2388.07,9060.26,47.55,521.52,2388.1,8140.43,8.4479,392,38.94,23.2366,179,0
2,-0.0037,0.0001,642.53,1580.22,1412.82,553.68,2388.08,9058.77,47.5,520.92,2388.1,8139.12,8.451,394,38.86,23.3081,178,0
3,-0.0004,0.0004,642.52,1589.38,1408.06,553.07,2388.08,9055.76,47.68,521.57,2388.09,8137.36,8.4472,394,38.88,23.2851,177,0
4,0.0037,0.0002,642.55,1592.7,1414.49,553.18,2388.13,9054.51,47.39,521.35,2388.1,8135.16,8.4726,394,38.83,23.3822,176,0
5,-0.0007,0.0002,642.48,1594.58,1406.66,553.2,2388.09,9057.34,47.46,521.81,2388.12,8135.8,8.4468,394,38.7,23.3021,175,0
6,-0.0017,-0.0003,642.55,1588.81,1411.51,553.5,2388.13,9053.97,47.55,521.85,2388.13,8133.35,8.4738,393,38.84,23.2778,174,0
7,-0.0001,-0.0003,642.44,1590.91,1410.77,553.27,2388.13,9049.31,47.56,521.58,2388.08,8137.8,8.4606,394,38.83,23.3421,173,0
8,0.0031,0.0005,642.47,1594.19,1408.83,553.54,2388.11,9051.55,47.45,520.61,2388.09,8136.48,8.4607,393,39.01,23.204,172,0
9,-0.0019,0.0002,642.61,1590.49,1407.77,553.9,2388.06,9059.34,47.52,521.92,2388.14,8137.48,8.4343,394,38.8,23.3007,171,0
10,-0.0026,0.0002,642.0,1594.78,1406.07,553.38,2388.1,9056.02,47.83,520.74,2388.12,8138.6,8.4353,393,38.72,23.3199,170,0
11,0.0035,0.0001,643.0,1588.03,1411.29,553.09,2388.13,9053.53,47.74,521.05,2388.1,8134.02,8.4644,393,38.71,23.3129,169,0
12,0.0004,0.0004,642.5,1587.15,1411.1,553.51,2388.09,9060.59,47.53,521.08,2388.16,8138.42,8.4513,392,38.88,23.1887,168,0
13,0.0016,0.0004,642.91,1585.28,1412.85,553.58,2388.17,9067.54,47.8,521.17,2388.14,8136.13,8.4616,392,38.73,23.2376,167,0
