time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,0.0009,-0.0002,642.66,1574.94,1402.56,554.68,2388.02,9071.43,47.21,522.54,2388.03,8149.93,8.3864,391,39.18,23.4691,209,0
2,-0.0018,0.0004,641.89,1587.37,1399.22,554.82,2387.98,9072.49,47.23,521.87,2387.99,8146.81,8.3596,393,38.98,23.4814,208,0
3,0.0021,0.0003,641.61,1580.34,1404.76,554.93,2388.04,9065.21,47.28,522.52,2388.0,8148.46,8.3811,391,39.17,23.3284,207,0
4,-0.0042,0.0003,641.88,1592.14,1400.88,555.36,2388.03,9065.71,47.28,522.1,2387.99,8146.47,8.3657,391,39.05,23.4411,206,0
5,0.0017,0.0,641.87,1581.4,1405.83,555.31,2387.96,9071.81,47.2,522.03,2387.94,8146.16,8.3856,392,38.92,23.3387,205,0
6,0.0013,-0.0002,642.07,1581.22,1398.71,555.34,2388.03,9070.95,47.16,522.73,2388.03,8151.43,8.3655,390,38.91,23.4404,204,0
7,0.0018,-0.0004,641.71,1588.9,1399.99,554.51,2388.0,9065.04,47.22,522.45,2388.02,8144.4,8.3678,391,39.12,23.3932,203,0
8,-0.0,-0.0003,642.13,1586.75,1401.19,555.21,2387.96,9069.48,47.16,523.14,2387.98,8149.37,8.3844,392,39.11,23.5353,202,0
9,0.0016,0.0004,642.13,1580.76,1393.43,554.99,2388.0,9068.36,47.02,522.27,2388.04,8150.77,8.3917,391,39.19,23.3313,201,0
10,-0.0008,0.0005,642.14,1584.02,1390.2,554.75,2387.95,9064.18,47.12,522.66,2387.99,8144.91,8.3964,390,38.97,23.4784,200,0
11,-0.004,0.0003,642.89,1587.49,1398.78,554.97,2388.02,9069.39,47.15,522.66,2388.01,8145.1,8.3782,392,39.01,23.4462,199,0
12,0.0012,-0.0004,642.03,1588.38,1391.44,554.72,2387.96,9055.08,47.11,522.27,2387.98,8144.81,8.3672,391,38.99,23.4348,198,0
13,0.0027,0.0001,642.14,1580.63,1392.88,554.74,2388.03,9062.35,47.06,522.56,2388.0,8145.28,8.3972,391,39.05,23.3536,197,0
