time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,-0.0023,0.0002,642.64,1584.29,1404.3,553.73,2388.08,9056.86,47.45,522.54,2388.07,8134.35,8.4238,394,38.96,23.3472,169,0
2,-0.0004,0.0004,642.41,1590.02,1403.17,554.15,2388.07,9064.37,47.35,521.93,2388.06,8133.06,8.425,392,38.93,23.3789,168,0
3,-0.0042,-0.0003,642.29,1593.27,1406.17,553.86,2388.09,9061.27,47.42,522.0,2388.03,8134.4,8.4084,393,39.1,23.2441,167,0
4,0.0028,0.0001,641.99,1594.32,1406.59,553.93,2388.05,9056.84,47.34,521.86,2388.08,8132.38,8.4248,395,38.91,23.353,166,0
5,0.0002,0.0002,642.69,1584.04,1400.93,554.04,2388.09,9055.16,47.43,521.78,2388.09,8134.0,8.4027,392,38.81,23.3257,165,0
6,-0.0001,-0.0003,642.66,1579.22,1403.14,553.77,2388.06,9055.81,47.35,522.06,2388.1,8136.23,8.3915,393,38.89,23.4511,164,0
7,0.0017,0.0004,642.52,1592.32,1404.96,553.85,2388.01,9063.83,47.47,521.52,2388.08,8138.2,8.4353,393,39.1,23.3918,163,0
8,0.0007,-0.0003,642.62,1583.91,1397.0,553.56,2388.11,9055.04,47.36,521.85,2387.99,8135.3,8.3874,393,39.0,23.3677,162,0
9,-0.0048,0.0003,641.87,1589.65,1403.68,553.11,2388.11,9053.04,47.42,521.92,2388.06,8136.55,8.4063,392,38.93,23.2057,161,0
10,0.0017,0.0001,642.5,1593.23,1398.93,553.5,2388.06,9049.98,47.18,521.66,2388.08,8136.13,8.4177,393,38.82,23.3852,160,0
11,0.0021,-0.0003,642.87,1595.33,1403.94,553.6,2388.09,9056.0,47.35,521.56,2388.12,8134.82,8.4082,392,38.9,23.4065,159,0
12,-0.0002,-0.0003,642.51,1592.88,1408.64,554.22,2388.06,9053.82,47.42,521.63,2388.08,8134.89,8.4677,393,39.1,23.289,158,0
13,-0.0012,-0.0001,642.41,1583.51,1400.81,553.69,2388.1,9052.17,47.5,521.91,2388.06,8132.04,8.4268,393,38.82,23.3648,157,0
14,-0.0019,-0.0003,642.38,1589.72,1401.37,553.38,2388.06,9052.25,47.46,521.49,2388.09,8134.22,8.4141,392,39.04,23.3559,156,0
15,-0.0016,0.0003,642.84,1593.81,1404.57,553.45,2388.02,9057.83,47.41,521.71,2388.01,8140.42,8.3994,392,38.84,23.2912,155,0
16,0.0004,0.0004,642.8,1589.76,1406.32,554.52,2388.05,9055.04,47.34,521.78,2388.04,8137.03,8.4377,393,38.75,23.31,154,0
17,-0.0024,-0.0,642.15,1585.75,1405.0,553.37,2388.1,9048.11,47.28,522.04,2388.07,8136.2,8.4521,391,39.16,23.2695,153,0
18,0.0021,0.0,642.36,1585.19,1398.17,553.41,2388.09,9052.96,47.46,521.28,2388.07,8128.84,8.4452,393,38.92,23.4756,152,0
19,-0.0024,-0.0002,642.32,1586.7,1407.42,553.66,2388.08,9049.37,47.58,521.2,2388.07,8138.18,8.4218,394,38.92,23.3748,151,0
20,-0.0019,0.0,642.53,1590.69,1402.93,554.48,2388.04,9060.67,47.48,522.33,2388.01,8137.39,8.4429,392,38.77,23.3584,150,0
21,-0.0021,-0.0002,642.19,1588.9,1393.37,554.05,2388.13,9056.29,47.31,521.94,2388.0,8138.85,8.409,392,39.04,23.3345,149,0
22,-0.0035,-0.0004,642.72,1588.08,1407.04,553.68,2388.1,9056.93,47.43,522.13,2388.09,8136.74,8.4049,393,38.95,23.2762,148,0
23,0.0007,0.0004,642.46,1587.75,1408.8,554.07,2388.12,9054.72,47.49,522.12,2388.1,8134.89,8.4413,391,38.79,23.2027,147,0
24,0.0048,-0.0002,642.76,1591.94,1407.39,553.51,2388.05,9056.45,47.51,522.14,2388.07,8136.47,8.3649,391,38.86,23.2807,146,0
25,-0.0037,-0.0003,642.24,1588.27,1403.64,554.57,2388.12,9063.7,47.32,521.84,2388.1,8131.97,8.4173,393,38.93,23.2765,145,0
26,0.0006,0.0004,642.5,1586.68,1406.8,554.13,2388.12,9049.97,47.38,521.71,2388.08,8135.25,8.4536,393,38.88,23.3801,144,0
27,0.0004,0.0002,642.43,1585.33,1405.66,554.02,2388.06,9058.98,47.38,521.59,2388.1,8138.7,8.4146,393,38.98,23.3419,143,0
28,0.0017,-0.0,642.81,1585.06,1403.7,554.13,2388.03,9057.42,47.44,521.66,2388.07,8140.63,8.4034,392,39.02,23.3019,142,0
29,-0.0019,0.0002,642.98,1596.13,1404.19,553.33,2388.08,9059.96,47.5,521.63,2388.04,8139.6,8.4082,393,38.96,23.3752,141,0
30,0.0011,0.0002,643.12,1588.65,1407.93,553.58,2388.06,9054.66,47.54,521.89,2388.05,8139.22,8.4117,394,39.08,23.3202,140,0
31,0.0011,0.0003,642.64,1591.06,1407.07,554.29,2388.06,9051.78,47.38,521.83,2388.04,8135.27,8.445,391,38.83,23.4902,139,0
32,0.0014,0.0002,641.88,1584.64,1407.36,553.85,2388.09,9057.71,47.41,521.43,2388.05,8142.41,8.405,393,38.82,23.3166,138,0
33,-0.0004,-0.0004,641.99,1595.06,1403.77,554.0,2388.04,9054.72,47.47,522.0,2388.11,8137.01,8.4199,391,38.83,23.3629,137,0
34,0.0023,0.0002,642.54,1585.8,1402.38,553.5,2388.08,9053.18,47.36,521.58,2388.12,8137.87,8.4262,392,38.91,23.4422,136,0
35,0.0014,0.0003,642.91,1592.72,1402.18,553.94,2388.06,9055.26,47.55,521.24,2388.04,8125.43,8.4111,395,39.08,23.3606,135,0
36,0.0013,-0.0004,642.56,1587.79,1400.04,553.8,2388.1,9053.24,47.47,522.15,2388.1,8136.09,8.4232,394,38.73,23.2003,134,0
37,-0.0027,0.0003,642.55,1582.37,1404.21,553.03,2388.09,9062.1,47.48,521.64,2388.04,8133.31,8.4275,394,39.02,23.3643,133,0
38,0.0022,0.0004,642.78,1587.41,1410.8,554.54,2388.03,9050.95,47.39,522.01,2388.13,8140.44,8.4244,393,38.9,23.2974,132,0
