time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,-0.0007,-0.0001,642.64,1582.44,1409.67,553.65,2388.09,9047.82,47.34,521.17,2388.06,8128.01,8.4314,395,38.99,23.3427,245,0
2,0.0005,0.0,642.67,1584.73,1403.53,553.85,2388.04,9046.66,47.54,521.75,2388.05,8130.46,8.4356,394,38.85,23.3807,244,0
3,0.0004,0.0003,642.63,1591.59,1398.99,553.58,2388.07,9041.28,47.41,522.09,2388.12,8122.73,8.3862,392,38.87,23.3731,243,0
4,-0.0012,0.0002,642.64,1584.87,1404.43,553.81,2388.09,9044.87,47.47,521.98,2388.07,8130.45,8.4031,393,38.68,23.4975,242,0
5,0.0005,-0.0002,642.06,1591.69,1400.83,553.87,2388.09,9045.66,47.35,521.87,2388.08,8126.81,8.4214,393,39.04,23.3632,241,0
6,-0.0016,-0.0003,642.51,1585.86,1403.81,553.64,2388.09,9048.46,47.34,521.91,2388.11,8131.2,8.4184,392,38.86,23.3665,240,0
7,-0.0004,0.0003,642.71,1589.72,1404.09,554.19,2388.09,9049.92,47.23,521.03,2388.04,8130.88,8.4325,391,38.73,23.299,239,0
8,-0.0028,-0.0003,641.99,1585.14,1407.35,553.24,2388.09,9046.47,47.39,522.1,2388.11,8131.69,8.4267,394,38.98,23.3877,238,0
9,0.0011,-0.0004,642.15,1588.35,1400.29,554.26,2388.11,9045.06,47.33,521.77,2388.07,8130.31,8.3964,393,38.96,23.2072,237,0
10,0.0023,0.0004,642.91,1587.1,1402.63,553.37,2388.11,9053.08,47.51,521.83,2388.09,8127.17,8.3984,392,39.12,23.3937,236,0
11,-0.002,0.0,642.18,1593.14,1400.85,553.9,2388.06,9050.61,47.54,521.8,2388.12,8126.24,8.3954,393,38.92,23.3665,235,0
12,-0.0011,-0.0004,642.73,1582.55,1409.87,553.61,2388.04,9055.44,47.43,521.51,2388.12,8125.95,8.4644,393,38.75,23.3939,234,0
13,0.0016,-0.0004,642.51,1594.43,1407.84,553.49,2388.09,9040.04,47.49,521.73,2388.07,8129.59,8.4138,393,39.03,23.41,233,0
14,0.0004,0.0005,642.34,1590.05,1401.29,553.36,2388.09,9042.57,47.49,521.82,2388.07,8129.01,8.4579,394,38.96,23.3537,232,0
15,-0.0016,-0.0004,642.57,1586.77,1393.2,554.61,2388.02,9050.85,47.29,522.53,2388.06,8133.08,8.4449,391,39.03,23.326,231,0
16,0.0005,0.0003,642.52,1595.93,1405.25,553.77,2388.09,9044.29,47.51,522.0,2388.1,8126.01,8.4359,395,38.76,23.3344,230,0
17,-0.0014,0.0003,642.94,1591.09,1406.16,554.0,2388.13,9048.28,47.34,521.17,2388.11,8130.78,8.4247,392,38.81,23.3964,229,0
18,0.0034,-0.0,642.19,1582.07,1401.48,553.83,2388.12,9044.32,47.49,522.08,2388.11,8128.38,8.4028,392,38.7,23.4419,228,0
19,0.0001,0.0,642.24,1592.33,1407.04,554.02,2388.06,9047.53,47.4,521.34,2388.1,8136.88,8.4201,392,38.97,23.3701,227,0
20,-0.0003,-0.0001,642.42,1583.09,1405.94,554.17,2388.06,9045.96,47.47,522.15,2388.11,8129.91,8.4055,393,38.95,23.1478,226,0
21,-0.0006,0.0004,642.49,1592.19,1406.51,554.37,2388.1,9054.76,47.47,522.04,2388.1,8133.83,8.4044,393,38.94,23.2375,225,0
22,0.0007,-0.0003,642.44,1587.12,1403.29,553.6,2388.1,9044.34,47.36,521.17,2388.08,8124.7,8.4382,392,38.83,23.3264,224,0
23,0.0015,0.0001,642.09,1589.69,1406.69,553.19,2388.02,9052.84,47.46,522.23,2388.06,8129.51,8.4148,391,38.98,23.4038,223,0
24,-0.0035,0.0002,642.78,1589.99,1401.98,553.43,2388.07,9049.8,47.43,521.91,2388.07,8125.87,8.424,393,39.07,23.4632,222,0
25,-0.0006,0.0004,642.8,1588.52,1410.41,553.87,2388.09,9043.42,47.41,521.87,2388.1,8130.53,8.4282,392,38.75,23.2717,221,0
26,-0.0016,-0.0001,642.42,1584.78,1405.5,552.52,2388.07,9049.29,47.45,521.28,2388.05,8130.42,8.4406,391,39.0,23.2548,220,0
27,-0.0053,0.0,643.14,1590.8,1407.02,553.31,2388.09,9050.91,47.42,521.89,2388.07,8125.27,8.4493,392,38.82,23.3836,219,0
28,0.0007,-0.0001,642.5,1580.45,1399.81,553.81,2388.13,9051.98,47.26,521.8,2388.1,8127.0,8.4352,392,38.95,23.4075,218,0
29,0.0024,-0.0005,642.48,1589.89,1408.59,553.42,2388.14,9047.14,47.39,521.62,2388.05,8126.64,8.4192,392,38.66,23.3371,217,0
