time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,0.0002,0.0001,642.67,1587.47,1405.02,553.94,2388.11,9049.17,47.5,521.23,2388.08,8130.94,8.3885,394,38.77,23.3636,212,1
2,-0.0008,-0.0004,642.48,1593.3,1413.05,554.11,2388.1,9047.76,47.46,521.75,2388.06,8129.41,8.4687,392,39.02,23.2396,211,1
3,-0.0018,-0.0,642.54,1587.35,1407.83,554.11,2388.08,9050.85,47.61,521.25,2388.07,8128.58,8.4006,393,38.85,23.3873,210,1
4,0.0015,0.0002,643.11,1579.1,1406.11,554.27,2388.11,9047.38,47.29,521.11,2388.15,8123.91,8.4665,393,38.83,23.3497,209,1
5,-0.0015,-0.0001,642.71,1573.75,1407.56,553.9,2388.09,9054.59,47.33,521.49,2388.1,8130.27,8.4556,394,38.97,23.4487,208,1
6,0.0009,-0.0003,642.49,1587.19,1401.13,553.98,2388.1,9038.36,47.41,521.27,2388.07,8126.2,8.4286,392,38.96,23.2617,207,1
7,0.0022,0.0005,643.3,1592.37,1399.82,553.4,2388.05,9045.55,47.39,521.61,2388.15,8127.98,8.4051,393,38.91,23.282,206,1
8,-0.002,-0.0005,642.53,1587.08,1406.6,553.14,2388.11,9053.94,47.41,522.14,2388.07,8127.94,8.4552,395,38.77,23.287,205,1
9,-0.0016,0.0001,642.85,1589.17,1415.36,553.45,2388.05,9046.16,47.58,521.61,2388.05,8127.31,8.421,392,38.85,23.321,204,1
10,-0.0003,-0.0001,642.87,1591.95,1408.29,553.55,2388.11,9048.65,47.53,521.53,2388.12,8133.98,8.4214,392,38.9,23.3184,203,1
11,-0.0026,-0.0003,642.65,1579.6,1415.0,553.23,2388.04,9043.07,47.4,521.22,2388.12,8130.41,8.404,393,38.83,23.3505,202,1
12,0.0008,0.0004,642.82,1595.83,1400.51,553.76,2388.09,9052.35,47.4,521.98,2388.16,8124.64,8.3991,393,38.7,23.2869,201,1
13,-0.0012,-0.0004,642.19,1583.7,1400.17,553.56,2388.07,9053.27,47.34,521.98,2388.11,8128.76,8.4204,394,38.84,23.1843,200,1
14,0.0025,-0.0001,642.75,1594.47,1408.49,553.53,2388.13,9048.91,47.46,521.53,2388.08,8128.24,8.4527,393,39.13,23.3208,199,1
15,0.0006,-0.0002,641.93,1589.33,1400.21,553.64,2388.09,9046.61,47.41,521.48,2388.04,8136.24,8.3959,392,38.88,23.3944,198,1
16,0.0051,0.0001,642.86,1589.64,1406.02,553.55,2388.14,9042.53,47.46,521.59,2388.12,8124.18,8.451,392,38.81,23.3576,197,1
17,-0.0025,0.0004,642.75,1591.46,1403.28,553.83,2388.11,9044.08,47.51,521.82,2388.1,8128.5,8.4333,392,38.68,23.2854,196,1
18,0.0021,0.0002,642.91,1595.55,1407.97,553.65,2388.13,9052.0,47.33,521.56,2388.09,8127.35,8.4708,392,38.79,23.2752,195,1
19,0.0004,-0.0001,642.32,1590.09,1404.1,553.53,2388.09,9053.31,47.56,521.68,2388.09,8127.82,8.4138,393,38.8,23.2662,194,1
20,-0.0006,0.0004,642.93,1587.17,1400.51,553.65,2388.06,9050.9,47.31,521.09,2388.13,8126.24,8.43,393,38.85,23.2657,193,1
21,-0.0015,-0.0005,642.28,1589.67,1409.16,553.61,2388.09,9048.48,47.49,521.34,2388.14,8124.98,8.4441,394,38.99,23.3216,192,1
22,-0.0026,0.0004,642.64,1588.46,1401.3,554.14,2388.09,9050.7,47.3,521.39,2388.16,8132.33,8.4221,392,39.06,23.2732,191,1
23,0.0023,0.0005,642.63,1587.5,1405.12,553.59,2388.12,9037.07,47.56,520.92,2388.15,8124.28,8.4432,393,38.84,23.3642,190,1
24,-0.0019,-0.0002,642.34,1593.9,1399.81,554.3,2388.13,9043.7,47.47,521.64,2388.13,8134.01,8.4196,393,38.9,23.4299,189,1
25,0.0015,0.0002,642.0,1585.47,1403.01,554.52,2388.06,9053.43,47.41,521.2,2388.09,8132.22,8.4428,392,38.87,23.4114,188,1
26,-0.0017,-0.0002,642.5,1591.04,1407.07,553.67,2388.09,9047.13,47.46,521.57,2388.11,8129.57,8.4351,392,38.76,23.3168,187,1
27,0.0041,-0.0003,642.72,1593.13,1406.78,552.58,2388.06,9051.68,47.55,521.55,2388.04,8126.72,8.426,395,38.86,23.2791,186,1
28,-0.0052,-0.0001,642.76,1581.04,1411.7,553.67,2388.14,9048.86,47.28,522.3,2388.1,8132.23,8.413,391,38.97,23.3864,185,1
29,0.0031,0.0003,642.15,1582.21,1406.01,553.58,2388.06,9046.07,47.64,521.62,2388.11,8126.76,8.4118,393,38.86,23.2453,184,1
30,-0.0002,0.0001,642.42,1587.37,1398.15,553.37,2388.08,9046.63,47.56,521.41,2388.14,8134.0,8.4636,393,38.92,23.2807,183,1
31,-0.002,-0.0,642.44,1583.62,1401.4,553.47,2388.12,9049.11,47.47,521.27,2388.09,8130.66,8.4219,392,38.95,23.2019,182,1
32,-0.0004,-0.0004,642.48,1591.17,1407.6,553.58,2388.16,9048.56,47.53,522.11,2388.12,8131.31,8.4433,393,38.83,23.2381,181,1
33,0.0016,-0.0004,642.3,1586.39,1402.3,553.92,2388.1,9044.14,47.41,521.62,2388.12,8128.41,8.4339,393,38.91,23.2628,180,1
34,-0.0009,0.0004,642.68,1584.03,1403.42,553.72,2388.09,9048.74,47.47,521.43,2388.17,8129.01,8.4462,393,38.81,23.3559,179,1
35,0.0019,0.0002,642.3,1587.16,1410.37,553.07,2388.12,9048.53,47.55,521.89,2388.12,8125.8,8.4273,392,38.81,23.3821,178,1
36,-0.0025,0.0002,642.75,1588.34,1404.1,554.01,2388.07,9047.99,47.52,521.17,2388.12,8132.08,8.4144,392,38.76,23.2153,177,1
37,0.0013,-0.0004,642.79,1587.64,1412.72,553.18,2388.12,9044.53,47.39,522.3,2388.08,8131.04,8.4491,393,38.92,23.3225,176,1
38,0.0023,-0.0005,642.56,1588.22,1406.96,553.71,2388.14,9054.8,47.58,520.71,2388.06,8129.12,8.4324,393,38.81,23.3561,175,1
39,-0.0005,-0.0003,642.15,1582.64,1403.74,553.35,2388.11,9045.83,47.6,521.49,2388.12,8127.17,8.4331,391,38.78,23.3035,174,1
40,0.001,0.0003,642.62,1586.68,1402.29,553.48,2388.11,9048.8,47.45,521.46,2388.07,8133.08,8.4387,393,38.97,23.3361,173,1
41,-0.0018,-0.0004,642.29,1587.24,1414.94,552.88,2388.14,9055.36,47.46,521.24,2388.08,8131.07,8.3995,394,38.88,23.363,172,1
42,0.001,-0.0002,641.93,1592.62,1412.38,553.53,2388.09,9045.42,47.63,521.55,2388.1,8128.58,8.4463,392,38.92,23.2624,171,1
43,-0.0002,-0.0003,642.09,1586.98,1404.83,554.4,2388.04,9059.13,47.5,521.53,2388.1,8128.29,8.4245,393,38.85,23.322,170,1
44,0.0043,0.0002,642.68,1585.75,1408.5,553.68,2388.07,9049.2,47.51,521.47,2388.09,8128.94,8.4103,393,38.94,23.4136,169,1
45,-0.0038,-0.0002,642.33,1592.62,1402.0,553.46,2388.12,9050.33,47.31,521.08,2388.09,8132.4,8.4321,393,38.93,23.2351,168,1
46,0.0003,-0.0005,642.89,1593.78,1405.45,554.42,2388.1,9046.43,47.49,521.81,2388.06,8125.07,8.4433,393,38.75,23.3052,167,1
47,-0.0003,0.0001,642.11,1597.61,1407.16,553.63,2388.06,9048.32,47.65,521.11,2388.12,8128.17,8.4231,393,38.88,23.2489,166,1
48,-0.0025,-0.0003,642.22,1593.27,1408.39,553.05,2388.1,9048.79,47.46,521.8,2388.11,8133.78,8.424,391,38.65,23.3486,165,1
49,-0.0011,-0.0002,642.54,1588.04,1407.32,553.44,2388.1,9053.49,47.38,521.26,2388.18,8129.31,8.4433,393,38.84,23.2384,164,1
50,-0.0013,-0.0002,642.39,1582.07,1396.32,553.21,2388.07,9049.35,47.48,521.62,2388.07,8128.43,8.4631,393,38.86,23.2804,163,1
51,0.0006,0.0005,642.63,1590.51,1415.31,553.71,2388.09,9053.85,47.56,521.89,2388.06,8127.92,8.4239,392,38.87,23.2467,162,1
52,-0.0023,-0.0001,642.62,1589.22,1404.05,552.85,2388.09,9049.73,47.52,521.51,2388.09,8127.7,8.4449,393,38.99,23.2494,161,1
53,0.0004,-0.0003,642.58,1587.35,1407.15,553.15,2388.1,9053.45,47.57,521.73,2388.12,8123.13,8.396,393,38.82,23.2749,160,1
54,0.0015,0.0004,642.13,1587.43,1407.18,553.7,2388.14,9045.97,47.57,521.57,2388.12,8129.51,8.458,392,38.89,23.3206,159,1
55,0.0011,-0.0005,642.87,1584.3,1411.08,554.29,2388.09,9044.02,47.42,521.19,2388.07,8130.67,8.4088,394,38.87,23.3254,158,1
56,0.0011,0.0003,642.16,1590.39,1402.64,553.97,2388.14,9052.22,47.48,521.34,2388.13,8128.86,8.4324,393,38.95,23.2723,157,1
57,-0.0015,0.0004,643.35,1589.99,1406.79,552.78,2388.1,9046.43,47.42,521.69,2388.08,8128.55,8.4353,393,38.95,23.3532,156,1
58,0.0018,0.0003,642.06,1593.26,1407.55,553.42,2388.08,9056.33,47.45,521.51,2388.11,8126.71,8.4123,394,38.8,23.2945,155,1
59,-0.004,-0.0001,642.72,1590.37,1412.24,554.27,2388.12,9054.8,47.36,521.28,2388.11,8129.77,8.4226,394,38.91,23.2569,154,1
60,0.0003,-0.0004,642.49,1591.51,1400.71,553.9,2388.15,9050.7,47.57,521.42,2388.07,8131.96,8.4092,393,38.9,23.3439,153,1
61,-0.0008,0.0001,642.78,1586.24,1412.88,554.15,2388.09,9042.13,47.5,521.55,2388.12,8131.34,8.4374,393,39.03,23.2286,152,1
62,0.0013,-0.0,643.05,1586.66,1404.95,554.03,2388.07,9046.95,47.59,521.71,2388.16,8131.61,8.4269,393,38.82,23.3311,151,1
63,0.0011,-0.0004,642.76,1585.3,1413.44,553.78,2388.09,9048.46,47.4,521.83,2388.13,8127.79,8.4428,392,38.62,23.298,150,1
64,-0.001,0.0001,642.83,1579.29,1402.11,553.4,2388.12,9051.11,47.39,521.58,2388.12,8132.45,8.4153,393,39.03,23.1934,149,1
65,0.0006,0.0002,642.17,1583.69,1406.45,553.7,2388.11,9049.69,47.38,521.32,2388.08,8135.55,8.3958,391,38.78,23.3307,148,1
66,0.0019,-0.0003,642.88,1585.93,1409.01,554.01,2388.1,9045.3,47.6,521.36,2388.1,8126.94,8.4136,393,38.76,23.2017,147,1
67,-0.0013,-0.0004,642.5,1589.89,1406.28,552.84,2388.1,9046.96,47.51,521.18,2388.11,8128.38,8.4231,393,38.6,23.3284,146,1
68,0.0032,-0.0005,642.68,1588.8,1405.12,553.32,2388.1,9048.91,47.57,521.45,2388.05,8134.61,8.421,392,38.91,23.3223,145,1
69,-0.0007,0.0001,642.76,1588.36,1415.39,553.22,2388.06,9048.34,47.51,521.28,2388.13,8127.74,8.4168,392,38.8,23.2898,144,1
70,0.0027,0.0,642.78,1588.81,1404.38,553.86,2388.15,9047.29,47.49,521.38,2388.13,8128.42,8.4647,394,38.82,23.4265,143,1
71,-0.0025,0.0002,642.94,1591.37,1410.53,553.7,2388.09,9050.1,47.6,521.54,2388.15,8131.43,8.4367,393,38.82,23.2826,142,1
