time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,-0.0025,-0.0,643.03,1586.31,1411.05,553.59,2388.15,9055.91,47.63,521.35,2388.12,8128.7,8.4271,392,38.81,23.2791,174,0
2,-0.0016,0.0002,642.55,1587.41,1407.01,553.7,2388.14,9057.61,47.55,520.98,2388.06,8129.13,8.4236,393,38.77,23.3192,173,0
3,0.0009,0.0003,642.68,1591.25,1404.4,553.33,2388.09,9058.83,47.62,521.67,2388.15,8132.07,8.4609,393,38.86,23.3119,172,0
4,-0.0017,0.0,642.55,1600.72,1412.55,553.86,2388.13,9054.06,47.41,521.28,2388.14,8133.1,8.4284,395,38.81,23.2918,171,0
5,-0.0022,-0.0003,642.54,1588.04,1406.49,552.97,2388.11,9054.49,47.62,521.76,2388.13,8132.59,8.3928,393,38.73,23.3639,170,0
6,0.0018,-0.0001,642.49,1586.79,1411.41,552.67,2388.08,9052.26,47.48,521.1,2388.14,8133.79,8.4439,393,38.75,23.2301,169,0
7,-0.0009,0.0003,642.33,1592.48,1403.92,553.53,2388.15,9059.25,47.5,521.48,2388.12,8132.33,8.4642,393,38.75,23.2943,168,0
8,-0.0041,-0.0001,642.03,1590.19,1407.15,553.26,2388.18,9055.47,47.77,521.71,2388.13,8128.63,8.4541,393,38.85,23.3262,167,0
9,-0.0024,-0.0002,642.5,1591.1,1413.81,553.95,2388.09,9060.86,47.57,521.62,2388.11,8131.49,8.4251,394,38.68,23.4109,166,0
10,0.0015,0.0002,642.27,1592.2,1403.93,553.18,2388.1,9053.14,47.6,521.17,2388.14,8129.02,8.4413,394,38.77,23.2669,165,0
11,0.0006,-0.0001,642.9,1588.04,1410.87,553.1,2388.06,9051.5,47.44,521.15,2388.11,8134.67,8.4711,392,38.8,23.3063,164,0
12,0.0023,-0.0,643.0,1590.15,1411.09,553.31,2388.16,9054.61,47.46,521.09,2388.11,8132.01,8.4542,391,38.88,23.2874,163,0
13,0.0006,-0.0002,642.22,1590.73,1405.62,553.59,2388.11,9055.94,47.67,521.1,2388.11,8130.79,8.4511,393,38.65,23.2296,162,0
14,0.0023,0.0003,642.77,1599.03,1411.25,553.89,2388.11,9054.65,47.69,521.53,2388.08,8133.73,8.4413,392,38.71,23.2797,161,0
15,0.0011,0.0,642.96,1592.0,1411.6,552.71,2388.13,9055.03,47.45,521.12,2388.14,8135.69,8.4749,394,38.8,23.1493,160,0
16,0.0024,-0.0001,642.86,1597.36,1416.45,552.76,2388.11,9050.3,47.76,521.25,2388.12,8134.53,8.4356,395,38.88,23.2555,159,0
17,0.0033,-0.0,642.47,1592.04,1410.93,553.49,2388.09,9055.96,47.56,520.8,2388.15,8128.36,8.4423,393,38.77,23.2553,158,0
18,0.0008,0.0003,642.88,1586.91,1406.01,553.77,2388.17,9049.32,47.46,521.3,2388.14,8132.54,8.4503,394,38.76,23.2304,157,0
19,0.002,0.0002,642.65,1591.88,1406.73,553.43,2388.11,9059.86,47.49,520.84,2388.11,8130.17,8.4412,393,38.75,23.3667,156,0
20,-0.0024,0.0001,642.92,1592.09,1396.56,553.4,2388.17,9054.89,47.69,520.95,2388.16,8129.07,8.4833,392,38.72,23.3475,155,0
21,-0.0009,0.0,643.0,1585.17,1411.47,553.45,2388.08,9048.9,47.44,521.38,2388.12,8133.28,8.4519,392,38.72,23.2525,154,0
22,-0.0019,0.0004,642.96,1587.85,1412.47,553.95,2388.09,9050.08,47.45,521.4,2388.16,8132.77,8.461,393,38.88,23.2956,153,0
23,0.0026,0.0005,643.12,1593.79,1405.62,553.08,2388.09,9051.54,47.61,521.36,2388.11,8130.05,8.4485,395,38.79,23.2931,152,0
24,-0.0002,-0.0001,642.65,1587.72,1413.51,553.11,2388.1,9048.33,47.57,521.13,2388.09,8129.92,8.4377,393,38.79,23.2768,151,0
25,0.0011,0.0002,642.44,1597.11,1409.72,553.8,2388.15,9052.04,47.51,521.25,2388.1,8130.92,8.4413,393,38.75,23.2765,150,0
26,-0.0006,-0.0001,643.28,1589.88,1404.34,553.39,2388.07,9049.12,47.79,521.94,2388.09,8130.16,8.4884,392,38.83,23.3406,149,0
27,0.0001,-0.0001,642.51,1588.64,1407.43,553.45,2388.11,9050.36,47.44,520.98,2388.08,8130.44,8.4354,393,38.75,23.3808,148,0
28,0.0021,0.0001,642.66,1587.08,1413.81,553.2,2388.14,9051.56,47.52,521.37,2388.15,8133.99,8.4382,393,38.77,23.1908,147,0
29,-0.0021,-0.0001,642.53,1595.24,1411.35,553.19,2388.14,9048.08,47.69,521.29,2388.14,8133.47,8.49,394,38.79,23.2026,146,0
30,0.002,-0.0003,642.72,1593.6,1403.95,553.49,2388.11,9049.35,47.73,521.36,2388.14,8134.8,8.4375,393,38.77,23.3857,145,0
31,0.0013,0.0003,642.86,1592.96,1412.39,553.32,2388.08,9054.92,47.57,521.35,2388.11,8127.31,8.4309,394,38.89,23.2425,144,0
32,0.0008,0.0001,642.94,1595.02,1410.34,552.64,2388.1,9054.59,47.71,521.5,2388.11,8133.02,8.4172,392,38.74,23.3273,143,0
33,-0.0027,0.0006,643.14,1590.9,1408.41,553.34,2388.15,9056.81,47.64,520.88,2388.11,8132.22,8.4545,395,38.67,23.2232,142,0
34,-0.0007,0.0006,643.54,1591.47,1417.46,553.8,2388.08,9056.32,47.54,520.9,2388.1,8134.51,8.4189,395,38.74,23.3069,141,0
