time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,0.0019,-0.0003,642.4,1584.27,1403.72,554.81,2387.99,9071.34,47.13,522.49,2387.95,8150.67,8.3918,391,39.15,23.4142,157,1
2,-0.0008,0.0001,642.57,1580.54,1398.95,554.31,2387.93,9068.79,47.2,522.53,2387.99,8155.6,8.3873,390,39.01,23.4461,156,1
3,0.0026,-0.0,641.83,1586.01,1396.16,554.86,2387.94,9072.93,47.03,522.4,2388.02,8156.34,8.4158,390,38.97,23.3814,155,1
4,-0.0006,0.0001,642.51,1588.56,1399.46,554.81,2387.97,9074.0,47.21,522.43,2387.96,8159.99,8.3862,392,38.89,23.5169,154,1
5,-0.0007,0.0,642.43,1577.38,1402.37,554.54,2387.94,9068.84,47.45,522.16,2388.02,8153.01,8.4016,391,39.01,23.3457,153,1
6,-0.0011,0.0001,642.25,1586.89,1394.36,554.91,2388.02,9068.47,47.14,522.52,2387.95,8149.79,8.3942,391,38.98,23.4869,152,1
7,0.0011,-0.0005,642.59,1586.75,1394.63,554.3,2388.01,9076.48,47.24,522.55,2388.02,8152.54,8.4392,391,38.77,23.4211,151,1
8,-0.0017,0.0001,641.75,1583.59,1397.04,554.83,2387.98,9071.25,47.22,522.6,2387.97,8143.72,8.4142,392,39.08,23.4394,150,1
9,-0.0038,-0.0003,642.48,1575.54,1393.75,554.93,2387.94,9077.86,47.33,522.57,2388.01,8150.72,8.3895,392,38.86,23.3374,149,1
10,0.0025,-0.0,642.19,1586.95,1395.36,554.75,2387.95,9077.97,47.26,522.29,2387.93,8154.64,8.4147,392,39.09,23.3871,148,1
11,0.0021,-0.0,642.04,1581.9,1395.97,554.93,2388.0,9064.09,47.21,521.71,2388.0,8151.27,8.3684,392,39.0,23.4111,147,1
12,-0.001,-0.0002,642.23,1589.56,1401.5,554.55,2387.95,9074.9,47.22,522.52,2387.95,8149.41,8.402,393,39.0,23.4707,146,1
13,0.0006,0.0004,641.83,1580.03,1396.11,554.64,2388.04,9074.75,47.18,523.07,2388.02,8157.31,8.4204,391,38.95,23.4372,145,1
14,-0.0015,-0.0005,642.2,1578.76,1395.27,554.56,2387.99,9076.98,47.0,522.68,2388.0,8154.58,8.3869,392,38.98,23.463,144,1
15,-0.0014,0.0003,642.15,1585.59,1399.03,555.12,2387.98,9068.15,47.34,521.74,2388.04,8152.81,8.3869,392,38.99,23.3841,143,1
16,-0.0039,-0.0001,642.28,1586.88,1396.88,554.87,2387.93,9068.3,47.22,522.23,2387.96,8150.84,8.3892,392,38.98,23.5026,142,1
17,-0.0008,0.0003,642.06,1583.64,1406.43,554.16,2388.0,9070.49,47.06,522.62,2388.05,8152.64,8.3696,391,38.85,23.4428,141,1
18,0.0036,-0.0005,642.47,1590.93,1400.46,554.32,2388.0,9067.69,47.2,522.26,2388.0,8158.15,8.4012,392,39.0,23.3411,140,1
19,-0.0027,0.0001,641.91,1584.73,1390.08,554.84,2388.01,9070.81,47.15,522.32,2387.96,8151.07,8.3959,392,39.09,23.3803,139,1
20,0.0024,0.0003,642.11,1589.46,1394.04,554.0,2388.01,9071.12,47.33,521.62,2387.96,8149.96,8.3932,391,38.97,23.4737,138,1
21,0.0005,-0.0003,642.23,1582.61,1396.32,554.12,2388.04,9079.16,47.15,522.02,2387.98,8149.71,8.3811,391,39.15,23.3855,137,1
22,0.0012,-0.0002,642.64,1583.37,1404.5,553.71,2387.93,9072.85,47.14,522.33,2387.99,8154.55,8.387,391,39.12,23.4677,136,1
23,-0.0039,-0.0004,642.31,1590.53,1391.76,554.6,2387.97,9070.83,47.17,522.41,2388.02,8158.59,8.4418,391,38.92,23.3783,135,1
24,-0.0008,-0.0001,642.15,1583.11,1406.04,554.47,2388.0,9071.34,47.3,522.31,2388.01,8152.79,8.4091,393,38.96,23.3422,134,1
25,0.0,-0.0001,642.74,1581.95,1397.36,553.77,2387.97,9074.31,47.18,522.57,2387.99,8154.97,8.3803,392,39.09,23.4403,133,1
26,0.0004,0.0002,641.57,1586.48,1405.01,554.65,2387.99,9076.04,47.24,522.29,2388.0,8151.66,8.3997,392,39.16,23.4187,132,1
27,-0.0039,-0.0002,641.64,1587.1,1403.04,554.16,2387.99,9070.97,47.18,522.41,2387.97,8150.2,8.3762,391,39.01,23.5326,131,1
28,0.0001,-0.0004,642.0,1588.32,1396.93,554.15,2387.99,9069.58,47.0,522.6,2388.02,8147.45,8.4205,392,39.12,23.3835,130,1
29,-0.0009,-0.0003,641.66,1586.43,1394.31,554.12,2388.0,9073.6,47.12,522.35,2387.96,8149.98,8.369,392,38.84,23.4971,129,1
30,0.0026,-0.0004,641.87,1578.31,1398.59,554.54,2387.96,9073.33,47.25,522.51,2388.0,8149.15,8.3854,393,38.94,23.3643,128,1
31,-0.0009,-0.0005,641.99,1592.57,1401.2,554.35,2388.02,9075.67,47.09,522.1,2388.0,8153.18,8.4278,390,38.92,23.2955,127,1
32,0.0002,-0.0005,642.83,1586.52,1395.14,555.01,2387.99,9080.29,47.26,522.09,2387.95,8147.43,8.4265,393,38.98,23.4345,126,1
33,-0.0003,0.0002,642.15,1587.98,1395.86,555.55,2388.01,9068.15,47.25,522.58,2388.0,8154.57,8.3851,391,38.97,23.4007,125,1
34,-0.0001,-0.0005,642.1,1592.79,1394.74,554.88,2388.04,9078.64,47.25,522.47,2387.95,8148.39,8.3669,391,38.9,23.4692,124,1
35,0.0036,0.0001,642.21,1585.5,1400.39,553.55,2387.98,9074.8,47.23,522.22,2388.02,8153.12,8.4195,391,39.04,23.5263,123,1
36,-0.0026,-0.0001,642.04,1585.16,1397.19,554.61,2388.0,9079.73,47.21,522.41,2388.03,8151.94,8.4203,389,39.12,23.3833,122,1
37,0.0028,0.0004,641.71,1580.55,1403.56,554.06,2388.01,9066.42,47.12,522.26,2387.98,8155.47,8.3982,394,38.93,23.3336,121,1
38,-0.0035,0.0003,642.21,1583.07,1401.91,554.7,2387.93,9074.13,47.21,522.53,2388.03,8152.47,8.4212,391,38.96,23.4666,120,1
39,-0.0012,0.0004,641.98,1589.63,1392.69,554.23,2388.0,9074.44,47.18,522.39,2388.01,8152.8,8.4237,391,38.99,23.4472,119,1
40,-0.0018,-0.0003,642.08,1581.91,1400.18,554.53,2388.03,9069.2,47.15,522.25,2387.92,8154.85,8.4236,391,39.05,23.3772,118,1
41,0.0006,-0.0003,642.24,1586.62,1400.5,554.2,2387.97,9069.24,47.42,522.64,2387.97,8153.24,8.3765,391,38.82,23.3982,117,1
42,-0.0022,-0.0002,642.32,1585.49,1396.96,553.89,2387.98,9069.85,47.13,522.65,2387.96,8152.29,8.3982,392,38.9,23.4523,116,1
43,0.0028,0.0003,642.17,1587.28,1401.41,554.97,2387.92,9071.84,47.14,522.6,2387.96,8152.4,8.3868,392,39.08,23.5111,115,1
44,-0.0001,-0.0001,642.07,1586.47,1394.7,553.98,2387.97,9074.08,47.09,522.27,2387.98,8145.36,8.4357,393,38.85,23.3458,114,1
45,-0.0002,-0.0005,642.15,1595.0,1398.05,554.16,2388.03,9079.61,47.23,522.57,2387.96,8160.05,8.3932,392,38.99,23.302,113,1
46,0.0013,-0.0005,643.17,1588.53,1401.57,554.66,2388.02,9062.84,47.31,521.68,2388.03,8152.05,8.4015,393,38.92,23.4281,112,1
47,0.0072,0.0004,641.91,1581.36,1403.25,555.01,2387.99,9074.87,47.14,522.51,2388.0,8156.51,8.4099,391,39.06,23.3755,111,1
48,0.0006,0.0003,642.02,1590.0,1392.41,554.45,2388.01,9069.51,47.26,521.92,2388.02,8151.33,8.393,391,39.07,23.4273,110,1
49,-0.001,-0.0,642.18,1580.0,1403.24,553.76,2388.02,9062.9,47.24,522.28,2388.06,8149.36,8.4343,391,38.91,23.4004,109,1
50,-0.0036,0.0001,641.62,1588.67,1404.79,554.23,2387.99,9072.56,47.47,522.37,2388.02,8155.53,8.3901,391,38.94,23.4344,108,1
51,0.0004,0.0001,642.69,1582.0,1403.06,554.51,2388.04,9072.97,47.23,522.43,2387.98,8146.61,8.386,393,38.9,23.3697,107,1
52,-0.0045,0.0004,642.68,1579.54,1394.36,554.97,2388.03,9074.14,47.37,522.51,2388.02,8154.23,8.4097,392,39.07,23.3703,106,1
53,0.0032,0.0002,642.34,1586.75,1405.98,554.45,2388.01,9072.92,47.4,521.63,2387.96,8154.06,8.4051,391,38.73,23.4671,105,1
54,-0.002,0.0004,642.62,1585.88,1395.67,554.98,2388.03,9079.19,47.3,522.57,2388.02,8153.55,8.3898,392,39.0,23.4379,104,1
55,0.0007,0.0004,641.84,1584.92,1405.3,554.25,2387.97,9077.01,47.21,522.66,2388.07,8152.46,8.4216,392,38.96,23.2986,103,1
56,0.0004,-0.0005,642.12,1586.36,1404.08,554.05,2388.01,9070.34,47.12,521.88,2387.99,8154.53,8.4091,392,39.03,23.419,102,1
57,-0.0004,-0.0001,642.23,1590.47,1407.04,554.29,2388.0,9074.2,47.3,521.97,2387.98,8152.93,8.4117,391,39.06,23.3349,101,1
58,-0.0002,-0.0002,642.46,1576.54,1406.97,553.94,2388.0,9065.63,47.31,521.87,2387.95,8149.03,8.4252,392,39.1,23.4298,100,1
59,0.0002,0.0003,642.11,1584.14,1402.79,554.23,2388.04,9069.23,47.41,522.06,2388.0,8145.97,8.4057,392,38.98,23.4285,99,1
60,0.0034,0.0005,642.43,1583.83,1401.7,554.56,2387.96,9071.75,47.28,521.72,2388.04,8152.56,8.4207,392,38.93,23.4548,98,1
61,-0.0,-0.0005,641.93,1583.9,1397.41,554.28,2388.02,9072.21,47.42,522.11,2387.98,8151.77,8.3744,389,38.96,23.3939,97,1
62,0.0014,0.0004,642.66,1591.98,1399.12,554.09,2388.04,9069.02,47.31,522.0,2388.0,8155.37,8.4062,391,38.82,23.3384,96,1
63,-0.0003,0.0001,642.07,1584.08,1395.48,554.46,2387.97,9058.36,47.32,522.33,2388.01,8151.11,8.4038,390,39.08,23.4599,95,1
64,0.0024,-0.0004,642.49,1589.82,1400.19,554.36,2388.0,9076.76,47.25,522.7,2388.02,8152.16,8.4047,393,38.99,23.4297,94,1
65,0.0044,0.0002,642.39,1593.18,1407.63,553.17,2388.03,9074.89,47.11,521.91,2387.99,8153.75,8.4138,392,39.07,23.4085,93,1
66,0.0015,-0.0003,641.96,1585.76,1396.07,554.12,2388.03,9078.16,47.29,521.51,2388.06,8158.91,8.3846,392,38.94,23.4591,92,1
67,0.0038,-0.0,641.87,1585.9,1396.55,554.89,2388.0,9074.27,47.27,522.27,2388.0,8148.59,8.4191,391,38.7,23.4329,91,1
68,-0.0048,-0.0,642.58,1583.13,1398.97,554.56,2388.04,9072.54,47.21,522.62,2388.02,8154.91,8.4287,394,39.02,23.4152,90,1
69,-0.0019,-0.0003,642.62,1587.53,1395.54,554.43,2388.03,9068.4,47.31,522.0,2388.01,8156.75,8.3977,392,39.01,23.4174,89,1
70,0.0021,0.0001,642.25,1574.14,1395.88,554.24,2388.02,9075.99,47.33,522.34,2388.05,8154.02,8.4105,393,38.87,23.2702,88,1
71,-0.0012,0.0002,642.72,1584.31,1398.68,554.32,2388.03,9068.0,47.32,522.01,2388.02,8150.82,8.3965,391,38.99,23.3141,87,1
72,-0.0003,0.0001,642.51,1588.4,1404.83,553.97,2388.01,9070.99,47.33,522.15,2387.99,8160.53,8.4344,394,39.03,23.3482,86,1
73,-0.0023,0.0003,642.32,1579.67,1399.45,554.46,2388.02,9074.6,47.06,522.59,2388.01,8151.28,8.4361,390,38.88,23.2875,85,1
74,0.0001,-0.0004,642.39,1587.38,1397.47,553.85,2388.0,9069.21,47.29,522.67,2388.01,8149.34,8.4031,392,39.03,23.3897,84,1
75,-0.0033,-0.0,642.09,1582.95,1403.37,554.38,2388.02,9077.66,47.28,521.76,2388.04,8153.58,8.4202,393,39.06,23.4048,83,1
76,-0.0026,0.0002,642.41,1585.34,1395.56,553.7,2388.0,9068.63,47.31,522.01,2388.02,8152.43,8.4309,392,39.04,23.4298,82,1
