time_in_cycles,op_setting_1,op_setting_2,T24,T30,T50,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,evento
1,-0.0039,0.0,642.85,1587.9,1399.24,553.91,2388.16,9049.36,47.54,521.22,2388.15,8133.88,8.4256,394,38.91,23.311,165,0
2,-0.0002,0.0001,643.14,1592.19,1413.58,553.12,2388.16,9048.75,47.5,521.21,2388.06,8125.63,8.4356,393,38.77,23.2304,164,0
3,-0.0014,-0.0004,642.67,1586.04,1406.54,553.21,2388.09,9045.84,47.6,520.9,2388.11,8129.13,8.4442,391,38.85,23.1762,163,0
4,0.0011,-0.0003,642.66,1592.61,1402.47,553.97,2388.15,9046.17,47.68,521.35,2388.09,8127.37,8.4311,394,38.87,23.3333,162,0
5,-0.0012,0.0002,642.07,1589.04,1408.78,552.76,2388.12,9055.16,47.59,521.2,2388.14,8132.17,8.4687,394,39.02,23.3235,161,0
6,-0.0014,0.0005,642.39,1588.74,1407.56,553.8,2388.05,9048.52,47.44,521.03,2388.08,8128.22,8.4145,393,38.68,23.2022,160,0
7,-0.0013,0.0001,642.5,1586.91,1412.85,553.74,2388.09,9048.16,47.42,521.42,2388.06,8132.83,8.4432,393,39.06,23.3471,159,0
8,-0.0011,0.0005,642.8,1586.54,1404.87,552.6,2388.15,9051.68,47.49,521.32,2388.13,8128.21,8.4432,392,39.2,23.3235,158,0
9,-0.0016,-0.0003,642.32,1590.13,1404.73,553.8,2388.08,9049.14,47.57,521.57,2388.08,8128.19,8.4213,394,38.84,23.2859,157,0
10,0.0011,0.0003,642.67,1592.41,1407.96,553.17,2388.07,9050.31,47.58,521.72,2388.1,8131.43,8.4377,392,38.8,23.2511,156,0
11,0.0027,-0.0001,642.79,1591.46,1405.76,553.05,2388.13,9054.18,47.41,520.99,2388.12,8124.34,8.4427,392,39.01,23.2766,155,0
12,-0.0009,0.0004,642.2,1589.59,1406.16,553.09,2388.09,9054.86,47.67,521.79,2388.11,8122.43,8.4141,392,38.74,23.3434,154,0
13,-0.003,-0.0002,642.64,1592.38,1414.67,553.05,2388.12,9046.02,47.5,521.48,2388.1,8133.54,8.4537,393,38.83,23.2731,153,0
14,-0.0014,0.0004,642.82,1589.5,1415.84,552.91,2388.14,9052.69,47.56,521.73,2388.14,8122.52,8.4462,393,38.91,23.2565,152,0
15,0.004,-0.0001,642.52,1589.64,1414.45,553.99,2388.16,9053.47,47.39,521.2,2388.14,8127.63,8.4196,395,38.71,23.2531,151,0
16,-0.0039,0.0003,643.11,1592.19,1405.56,553.36,2388.17,9044.73,47.43,521.75,2388.1,8128.85,8.4401,392,38.75,23.4459,150,0
17,-0.0008,-0.0001,643.37,1592.78,1411.78,553.37,2388.06,9048.86,47.52,521.52,2388.08,8128.78,8.4596,393,38.82,23.2645,149,0
18,-0.0032,0.0003,642.8,1587.32,1410.27,553.94,2388.16,9048.17,47.42,521.44,2388.11,8131.44,8.4516,393,38.8,23.2486,148,0
19,-0.0004,0.0005,642.5,1587.7,1408.87,553.98,2388.1,9048.08,47.5,521.6,2388.14,8125.88,8.4704,393,38.76,23.3316,147,0
20,-0.0027,-0.0004,643.26,1585.85,1408.75,553.14,2388.12,9048.15,47.38,522.12,2388.1,8127.65,8.4539,391,38.99,23.3425,146,0
21,0.0,0.0003,642.81,1584.33,1406.5,553.09,2388.09,9041.68,47.57,521.29,2388.09,8133.25,8.4444,393,38.59,23.2717,145,0
22,0.0038,0.0004,642.61,1592.16,1409.09,553.96,2388.09,9050.42,47.59,521.73,2388.14,8132.69,8.425,392,38.67,23.3988,144,0
23,0.0033,-0.0002,643.07,1587.44,1403.85,553.48,2388.1,9050.3,47.56,521.42,2388.1,8132.54,8.445,394,38.87,23.2037,143,0
24,0.0005,-0.0003,642.08,1595.48,1402.11,553.19,2388.1,9049.95,47.32,521.4,2388.09,8135.64,8.4146,393,38.85,23.3051,142,0
25,0.0001,-0.0003,642.37,1587.06,1406.65,553.89,2388.11,9052.09,47.39,521.56,2388.13,8129.0,8.424,393,38.83,23.3347,141,0
26,0.0029,-0.0002,642.25,1594.76,1411.33,553.22,2388.1,9055.85,47.78,521.19,2388.09,8124.77,8.4269,393,38.65,23.301,140,0
27,0.0008,0.0002,642.92,1586.14,1409.4,553.45,2388.14,9045.08,47.33,521.59,2388.08,8130.4,8.4419,394,38.84,23.3131,139,0
28,-0.0025,-0.0004,642.42,1600.35,1414.06,553.13,2388.1,9049.27,47.3,521.86,2388.1,8129.83,8.4322,394,38.88,23.3413,138,0
29,0.0001,0.0001,642.51,1590.24,1412.15,552.98,2388.11,9055.0,47.54,521.34,2388.11,8131.6,8.4248,393,38.91,23.2933,137,0
30,-0.001,0.0,642.76,1591.28,1411.63,553.48,2388.1,9056.54,47.51,521.18,2388.1,8132.21,8.4977,392,38.85,23.4165,136,0
31,-0.0037,0.0004,642.79,1589.94,1411.53,553.13,2388.14,9049.17,47.57,521.33,2388.11,8130.73,8.4312,394,38.75,23.2189,135,0
